word, answers over 6, word value(idk), percent, avarage guesses
polar,347,48.024779081344604,0.9397255515025187,4.463435817265937
adept,347,75.28033804893494,0.9397255515025187,4.511030050373458
pivot,347,52.70420861244202,0.9397255515025187,4.5264894910543685
chops,347,42.049108028411865,0.9397255515025187,4.5285739100225815
phage,347,66.02409410476685,0.9397255515025187,4.5964912280701755
splat,347,60.21684980392456,0.9397255515025187,4.440854611776968
sprat,347,57.342031478881836,0.9397255515025187,4.444328643390655
bumps,348,44.81353735923767,0.9395518499218343,4.584505819002953
carps,348,38.20138144493103,0.9395518499218343,4.451450408198714
recap,348,68.94336295127869,0.9395518499218343,4.494702101789127
focal,348,59.2725727558136,0.9395518499218343,4.508077123501824
padre,348,51.56505870819092,0.9395518499218343,4.490012159110648
micro,348,53.79593777656555,0.9395518499218343,4.482542991141219
clops,348,41.86157989501953,0.9395518499218343,4.457877366684037
hoper,348,45.462910413742065,0.9395518499218343,4.499392044467605
brant,348,49.866031646728516,0.9395518499218343,4.441723119680389
baric,348,50.6627733707428,0.9395518499218343,4.498523536564183
might,349,51.0558340549469,0.9393781483411499,4.565919749869724
prong,349,52.31696391105652,0.9393781483411499,4.503908285565399
badge,349,53.95701861381531,0.9393781483411499,4.59666492965086
mired,349,41.959233045578,0.9393781483411499,4.471773493138787
cadge,349,53.486385107040405,0.9393781483411499,4.5534132360604485
pager,349,43.68372678756714,0.9393781483411499,4.519715129407677
cling,350,50.655980348587036,0.9392044467604655,4.495744311273232
mound,350,42.19023394584656,0.9392044467604655,4.532221643216953
black,350,57.99464392662048,0.9392044467604655,4.561750911933299
plane,350,57.55983304977417,0.9392044467604655,4.417404898384575
strap,350,62.75676727294922,0.9392044467604655,4.472468299461525
chasm,350,78.30553483963013,0.9392044467604655,4.618725030397776
ramps,350,37.65579319000244,0.9392044467604655,4.49643911759597
bloat,350,51.8277370929718,0.9392044467604655,4.449887093972555
dunce,350,55.624879121780396,0.9392044467604655,4.507382317179086
melba,350,71.16443657875061,0.9392044467604655,4.599617856522494
blips,350,37.16363716125488,0.9392044467604655,4.506687510856349
perms,350,45.18851375579834,0.9392044467604655,4.505471599791558
clone,350,60.61093330383301,0.9392044467604655,4.426958485322216
barms,350,36.98298382759094,0.9392044467604655,4.503387180823346
spine,351,60.66756749153137,0.9390307451797811,4.424874066354004
paved,351,52.10213351249695,0.9390307451797811,4.591280180649644
glide,351,59.731528520584106,0.9390307451797811,4.530310925829425
spire,351,60.481061697006226,0.9390307451797811,4.456314052457877
plods,351,39.162532329559326,0.9390307451797811,4.4705575820739964
patio,351,56.45048666000366,0.9390307451797811,4.453882230328296
petal,351,65.19992303848267,0.9390307451797811,4.443807538648602
bunco,351,57.89524030685425,0.9390307451797811,4.5513288170922355
poset,351,47.9266197681427,0.9390307451797811,4.4196630189334725
gaper,351,45.518105268478394,0.9390307451797811,4.520583637311099
culpa,351,59.36440420150757,0.9390307451797811,4.5381274969602226
monte,351,50.824873208999634,0.9390307451797811,4.422789647385791
brain,352,55.710325479507446,0.9388570435990967,4.43859649122807
dance,352,48.25863003730774,0.9388570435990967,4.459266979329512
plank,352,51.838988065719604,0.9388570435990967,4.5294424179260036
ditch,352,50.142297983169556,0.9388570435990967,4.5211047420531525
crept,352,69.87345767021179,0.9388570435990967,4.455966649296508
tamed,352,43.58510160446167,0.9388570435990967,4.487059232239013
calms,352,38.63522291183472,0.9388570435990967,4.454924439812403
glint,352,48.36995029449463,0.9388570435990967,4.452492617682821
gamin,352,52.750529050827026,0.9388570435990967,4.518325516762203
dimer,352,49.757089376449585,0.9388570435990967,4.469341671009206
bidet,352,41.271772623062134,0.9388570435990967,4.474205315268369
opine,352,66.5113673210144,0.9388570435990967,4.4370331770019105
